1. chord.project.Config : scopeKind @ null, java.lang.String, static: true
2. chord.project.Config : mainClassName @ null, java.lang.String, static: true
3. chord.project.Config : srcPathName @ null, java.lang.String, static: true
4. chord.project.Config : runIDs @ null, java.lang.String, static: true
5. chord.project.Config : runtimeJvmargs @ null, java.lang.String, static: true
6. chord.project.Config : reflectKind @ null, java.lang.String, static: true
7. chord.project.Config : CHkind @ null, java.lang.String, static: true
8. chord.project.Config : scopeStdExcludeStr @ null, java.lang.String, static: true
9. chord.project.Config : scopeExtExcludeStr @ null, java.lang.String, static: true
10. chord.project.Config : scopeExcludeStr @ null, java.lang.String, static: true
11. chord.project.Config : checkStdExcludeStr @ null, java.lang.String, static: true
12. chord.project.Config : checkExtExcludeStr @ null, java.lang.String, static: true
13. chord.project.Config : checkExcludeStr @ null, java.lang.String, static: true
14. chord.project.Config : printClasses @ null, java.lang.String, static: true
15. chord.project.Config : instrSchemeFileName @ null, java.lang.String, static: true
16. chord.project.Config : javaAnalysisPathName @ null, java.lang.String, static: true
17. chord.project.Config : dlogAnalysisPathName @ null, java.lang.String, static: true
18. chord.project.Config : runAnalyses @ null, java.lang.String, static: true
19. chord.project.Config : instrKind @ null, java.lang.String, static: true
20. chord.project.Config : traceKind @ null, java.lang.String, static: true
21. chord.project.Config : printRels @ null, java.lang.String, static: true
22. chord.project.Config : userClassPathName @ null, java.lang.String, static: true
23. chord.analyses.method.RelExtraEntryPoints : extraMethodsList @ null, java.lang.String, static: true
24. chord.program.Program : runBefore @ null, java.lang.String, static: true
25. chord.project.analyses.BasicDynamicAnalysis : runBefore @ null, java.lang.String, static: true
26. chord.analyses.alias.CtxtsAnalysis : ctxtKind @ null, java.lang.String, static: true
27. chord.analyses.datarace.DataraceAnalysis : excludeParallel @ null, boolean, static: true
28. chord.project.Config : verbose @ null, int, static: true
29. chord.analyses.alias.CtxtsAnalysis : kobj_K @ null, int, static: true
30. chord.analyses.alias.CtxtsAnalysis : kcfa_K @ null, int, static: true
31. chord.project.Config : reuseRels @ null, boolean, static: true
32. chord.project.Config : methodsFileName @ null, java.lang.String, static: true
33. chord.project.Config : reflectFileName @ null, java.lang.String, static: true
34. chord.project.Config : reuseScope @ null, boolean, static: true
35. chord.project.Config : traceFileName @ null, java.lang.String, static: true
36. chord.project.Config : userClassesDirName @ null, java.lang.String, static: true
37. chord.project.Config : outDirName @ null, java.lang.String, static: true
